"1" 1 3312 98101 6
"5" 2 792 98101 9
"14" 2 24 98101 3
"15" 4 3174 98101 6
"18" 4 502 98101 6
"21" 5 1241 98101 5
"25" 5 2489 98101 5
"40" 6 916 98101 1
"52" 11 2577 98101 10
"63" 15 239 98101 2
"68" 18 176 98101 4
"70" 20 3354 98101 2
"74" 21 28 98101 10
"82" 22 4715 98101 6
"83" 25 1 98101 3
"93" 25 792 98101 3
"97" 29 20 98101 10
"100" 31 100 98101 10
"102" 33 2796 98101 4
"110" 34 3176 98101 10
"114" 38 3335 98101 7
"117" 40 149 98101 9
"118" 41 3296 98101 10
"131" 42 197 98101 5
"133" 48 387 98101 2
"134" 49 3999 98101 8
"135" 50 1027 98101 3
"143" 50 912 98101 6
"147" 54 2642 98101 7
"156" 56 1541 98101 4
"160" 62 2966 98101 10
"164" 66 95 98101 6
"165" 70 137 98101 4
"168" 71 863 98101 4
"170" 74 3234 98101 7
"171" 76 3137 98101 4
"172" 77 3853 98101 2
"175" 78 3210 98101 3
"179" 81 2970 98101 3
"180" 85 4299 98101 3
"183" 86 1420 98101 2
"185" 89 3911 98101 6
"188" 91 802 98101 5
"190" 94 2773 98101 8
"195" 96 65 98101 6
"196" 101 30 98101 10
"200" 102 4149 98101 2
"207" 106 4053 98101 6
"211" 113 518 98101 10
"219" 117 173 98101 8
"221" 125 914 98101 4
"225" 127 3878 98101 4
"231" 131 218 98101 3
"232" 137 4440 98101 1
"235" 138 69 98101 4
"244" 141 399 98101 3
"248" 150 39 98101 9
"258" 154 1695 98101 6
"259" 164 1878 98101 2
"261" 165 2982 98101 9
"262" 167 4775 98101 8
"266" 168 3150 98101 2
"267" 172 172 98101 9
"268" 173 171 98101 9
"270" 174 116 98101 8
"271" 176 4710 98101 2
"273" 177 17 98101 4
"275" 179 799 98101 3
"283" 181 4796 98101 7
"285" 183 3398 98102 3
"288" 183 2774 98102 5
"289" 183 255 98102 4
"290" 183 194 98102 2
"291" 184 932 98102 2
"295" 184 2423 98102 4
"296" 184 188 98102 4
"297" 185 427 98102 7
"298" 185 440 98102 7
"303" 185 2035 98102 7
"304" 186 3333 98102 2
"305" 186 186 98102 3
"307" 186 3322 98102 3
"309" 187 1837 98102 5
"310" 187 185 98102 3
"312" 187 3322 98102 4
"313" 188 224 98102 3
"316" 188 395 98102 2
"319" 189 1980 98102 4
